"postcode","postcode_space","postcode area","Average download speed (Mbit/s)","Maximum download speed (Mbit/s)","Minimum download speed (Mbit/s)","Average upload speed (Mbit/s)","Maximum upload speed (Mbit/s)","Minimum upload speed (Mbit/s)","Average data usage (GB)","All Premises","Connected Premises","lsoa_area","city"
"BS105AA","BS10 5AA","BS",4.53044663979215,5.30330490805908,1.6094379124341,2.05412373369555,2.56494935746154,0.53062825106217,5.58724865840025,13,13,"Bristol 004C","Bristol, City of"
"BS105AB","BS10 5AB","BS",4.38327585407431,5.30330490805908,1.7404661748405,2.09186406167839,3.04452243772342,0.587786664902119,5.39816270151775,11,11,"Bristol 004D","Bristol, City of"
"BS105AD","BS10 5AD","BS",4.29728540621879,5.30330490805908,1.88706964903238,2.07944154167984,3.04452243772342,0.587786664902119,5.80211837537706,29,29,"Bristol 004D","Bristol, City of"
"BS105AE","BS10 5AE","BS",4.04655389838575,5.01727983681492,1.52605630349505,1.94591014905531,3.04452243772342,0.182321556793955,5.88610403145016,32,32,"Bristol 004D","Bristol, City of"
"BS105AF","BS10 5AF","BS",4.4224485491728,5.30330490805908,1.41098697371026,2.2512917986065,3.04452243772342,0.405465108108164,5.84932477994686,27,27,"Bristol 004B","Bristol, City of"
"BS105AG","BS10 5AG","BS",4.2570301444992,5.30330490805908,1.56861591791385,1.97408102602201,2.56494935746154,0.587786664902119,5.29831736654804,34,34,"Bristol 004D","Bristol, City of"
"BS105AH","BS10 5AH","BS",4.36944785246702,5.30330490805908,1.28093384546206,1.80828877117927,2.56494935746154,0.470003629245736,5.52545293913178,8,8,"Bristol 004B","Bristol, City of"
"BS105AJ","BS10 5AJ","BS",4.19268046294296,5.30330490805908,0.955511445027436,1.94591014905531,2.73436750941958,0.470003629245736,5.08759633523238,16,16,"Bristol 004B","Bristol, City of"
"BS105AL","BS10 5AL","BS",4.25561270981822,5.30330490805908,0.53062825106217,1.84054963339749,2.56494935746154,0.262364264467491,5.47227067367148,31,31,"Bristol 004B","Bristol, City of"
"BS105AN","BS10 5AN","BS",4.48975933447676,5.30330490805908,1.38629436111989,2.06686275947298,2.56494935746154,0.470003629245736,5.50533153593236,31,31,"Bristol 010B","Bristol, City of"
"BS105AP","BS10 5AP","BS",4.34510328056928,5.30330490805908,1.1314021114911,2.05412373369555,3.04452243772342,0.336472236621213,5.4971682252932,32,32,"Bristol 004D","Bristol, City of"
"BS105AQ","BS10 5AQ","BS",4.34510328056928,5.30330490805908,1.62924053973028,2.14006616349627,3.04452243772342,0.587786664902119,5.85793315448346,32,32,"Bristol 004B","Bristol, City of"
"BS105AR","BS10 5AR","BS",4.35926964755127,5.30330490805908,1.41098697371026,1.97408102602201,2.56494935746154,0.470003629245736,5.48893772615669,30,30,"Bristol 004D","Bristol, City of"
"BS105AS","BS10 5AS","BS",4.4042772436087,5.30330490805908,1.45861502269952,2.02814824729229,3.04452243772342,0.336472236621213,5.42934562895444,38,38,"Bristol 004D","Bristol, City of"
"BS105AT","BS10 5AT","BS",4.3993752730085,5.30330490805908,0.741937344729377,2.11625551480255,3.04452243772342,0.0953101798043249,5.10594547390058,36,36,"Bristol 004D","Bristol, City of"
"BS105AU","BS10 5AU","BS",4.48300255201388,5.70711026474888,1.56861591791385,2.07944154167984,3.04452243772342,0.470003629245736,6.0730445341004,31,31,"Bristol 004D","Bristol, City of"
"BS105AW","BS10 5AW","BS",4.03777421073371,4.61512051684126,0.955511445027436,1.82454929205105,2.39789527279837,0.587786664902119,5.87211778947542,18,18,"Bristol 004D","Bristol, City of"
"BS105AX","BS10 5AX","BS",4.4042772436087,5.30330490805908,1.79175946922805,2.2512917986065,3.04452243772342,0.741937344729377,5.96357934361845,23,23,"Bristol 004D","Bristol, City of"
"BS105AY","BS10 5AY","BS",4.28634138453947,5.30330490805908,1.41098697371026,1.94591014905531,2.56494935746154,0.405465108108164,5.45958551414416,28,28,"Bristol 004D","Bristol, City of"
"BS105AZ","BS10 5AZ","BS",4.35926964755127,5.30330490805908,1.79175946922805,2.15176220325946,2.74727091425549,0.587786664902119,5.91620206260743,20,20,"Bristol 004D","Bristol, City of"
"BS105BA","BS10 5BA","BS",4.12228393091134,4.67562864963665,1.70474809223843,1.98787434815435,3.04452243772342,0.336472236621213,5.68357976733868,23,23,"Bristol 004C","Bristol, City of"
"BS105BB","BS10 5BB","BS",4.30406509320417,5.30330490805908,1.33500106673234,2.2512917986065,3.04452243772342,0.405465108108164,5.76832099579377,26,26,"Bristol 004C","Bristol, City of"
"BS105BD","BS10 5BD","BS",4.38825718442452,5.30330490805908,1.64865862558738,1.98787434815435,2.56494935746154,0.405465108108164,5.91079664404053,31,31,"Bristol 004C","Bristol, City of"
"BS105BE","BS10 5BE","BS",4.55282370561588,5.30330490805908,1.02961941718116,2.02814824729229,2.56494935746154,0.405465108108164,4.99721227376411,17,17,"Bristol 004D","Bristol, City of"
"BS105BH","BS10 5BH","BS",4.24276456734037,5.30330490805908,2.12823170584927,2.2512917986065,3.04452243772342,0.641853886172395,4.76217393479776,20,20,"Bristol 004C","Bristol, City of"
"BS105BJ","BS10 5BJ","BS",4.29592393562047,5.30330490805908,0.0953101798043249,2.05412373369555,2.56494935746154,0.0953101798043249,5.04985600724954,28,28,"Bristol 004C","Bristol, City of"
"BS105BL","BS10 5BL","BS",4.46705688385846,5.30330490805908,2.32238772029023,1.91692261218206,2.56494935746154,0.53062825106217,4.90527477843843,20,20,"Bristol 004C","Bristol, City of"
"BS105BN","BS10 5BN","BS",4.34120464015363,5.30330490805908,2.37954613413017,2.18605127673809,3.04452243772342,0.693147180559945,4.82028156560504,20,20,"Bristol 004C","Bristol, City of"
"BS105BP","BS10 5BP","BS",4.37575702166029,5.30330490805908,2.4932054526027,2.00148000021012,2.86789890204411,0.693147180559945,5.67332326717149,23,23,"Bristol 004C","Bristol, City of"
"BS105BS","BS10 5BS","BS",3.97217692824789,5.30330490805908,1.88706964903238,1.88706964903238,2.56494935746154,0.587786664902119,5.52146091786225,28,28,"Bristol 004C","Bristol, City of"
"BS105BT","BS10 5BT","BS",3.97968165390196,4.67562864963665,1.56861591791385,1.48160454092422,1.94591014905531,0.587786664902119,5.61677109766657,16,16,"Bristol 004C","Bristol, City of"
"BS105BU","BS10 5BU","BS",4.0876555740713,5.30330490805908,2.56494935746154,1.88706964903238,2.56494935746154,0.587786664902119,5.47227067367148,19,19,"Bristol 004C","Bristol, City of"
"BS105BW","BS10 5BW","BS",4.80974235171687,5.30330490805908,2.21920348405499,2.2512917986065,2.56494935746154,0.693147180559945,5.38449506278909,20,20,"Bristol 004C","Bristol, City of"
"BS105BX","BS10 5BX","BS",4.62301010411642,5.30330490805908,1.87180217690159,2.04122032885964,2.56494935746154,0.336472236621213,5.38449506278909,22,22,"Bristol 004D","Bristol, City of"
"BS105BY","BS10 5BY","BS",4.37197629882038,5.30330490805908,1.79175946922805,2.02814824729229,2.56494935746154,0.470003629245736,5.77765232322266,19,19,"Bristol 004D","Bristol, City of"
"BS105BZ","BS10 5BZ","BS",4.87213921684233,5.30330490805908,3.71357206670431,2.28238238567653,2.56494935746154,1.79175946922805,5.6970934865054,10,10,"Bristol 004C","Bristol, City of"
"BS105DA","BS10 5DA","BS",4.28908863901461,5.01727983681492,1.75785791755237,1.96009478404727,3.04452243772342,0.470003629245736,5.87493073085203,14,14,"Bristol 004D","Bristol, City of"
"BS105DB","BS10 5DB","BS",3.9963641538619,5.30330490805908,1.41098697371026,1.68639895357023,2.56494935746154,0.470003629245736,5.54907608489522,30,30,"Bristol 004D","Bristol, City of"
"BS105DD","BS10 5DD","BS",4.58394654953646,5.30330490805908,1.70474809223843,2.23001440015921,3.01062088604774,0.587786664902119,5.30330490805908,16,16,"Bristol 004D","Bristol, City of"
"BS105DF","BS10 5DF","BS",2.66722820658195,3.71113006304876,1.62924053973028,1.45861502269952,2.39789527279837,0.641853886172395,5.58724865840025,5,5,"Bristol 004C","Bristol, City of"
"BS105DJ","BS10 5DJ","BS",4.59511985013459,5.30330490805908,3.47506723022861,2.39789527279837,3.04452243772342,1.38629436111989,5.0998664278242,21,21,"Bristol 004C","Bristol, City of"
"BS105DL","BS10 5DL","BS",4.79496375762075,5.30330490805908,2.89591193827178,2.37024374146786,3.04452243772342,0.78845736036427,5.4510384535657,13,13,"Bristol 006C","Bristol, City of"
"BS105DR","BS10 5DR","BS",4.43081679884331,5.30330490805908,2.89037175789616,2.26176309847379,3.04452243772342,0.78845736036427,4.94875989037817,11,11,"Bristol 004C","Bristol, City of"
"BS105DS","BS10 5DS","BS",4.41763506214125,5.30330490805908,0.78845736036427,1.80828877117927,2.56494935746154,0.336472236621213,4.47733681447821,8,8,"Bristol 004C","Bristol, City of"
"BS105DT","BS10 5DT","BS",4.02535169073515,4.38202663467388,3.46573590279973,2.36085400111802,2.76000994003292,1.68639895357023,5.14749447681345,5,5,"Bristol 006C","Bristol, City of"
"BS105DW","BS10 5DW","BS",4.19870457754634,4.67562864963665,2.68784749378469,2.14006616349627,3.04452243772342,0.693147180559945,4.85203026391962,15,15,"Bristol 006C","Bristol, City of"
"BS105DX","BS10 5DX","BS",4.11087386417331,5.30330490805908,2.26176309847379,1.87180217690159,3.04452243772342,0.182321556793955,5.28826703069454,28,28,"Bristol 006C","Bristol, City of"
"BS105DZ","BS10 5DZ","BS",4.65014355163082,5.30330490805908,2.60268968544438,2.39789527279837,3.04452243772342,0.741937344729377,5.73334127689775,11,11,"Bristol 006C","Bristol, City of"
"BS105EA","BS10 5EA","BS",4.27249074760558,5.01727983681492,0.641853886172395,2.16332302566054,3.04452243772342,0.405465108108164,5.64190707093811,16,16,"Bristol 004C","Bristol, City of"
"BS105ED","BS10 5ED","BS",4.36054760299676,5.30330490805908,2.04122032885964,2.10413415427021,3.04452243772342,0.693147180559945,4.64439089914137,13,13,"Bristol 004C","Bristol, City of"
"BS105EE","BS10 5EE","BS",4.3502779363593,5.30330490805908,2.18605127673809,1.85629799036563,2.56494935746154,0.693147180559945,4.67282883446191,15,15,"Bristol 006C","Bristol, City of"
"BS105EF","BS10 5EF","BS",4.21064501791826,5.30330490805908,2.63905732961526,1.90210752639692,2.56494935746154,0.693147180559945,5.03695260241363,19,19,"Bristol 006C","Bristol, City of"
"BS105EG","BS10 5EG","BS",4.28771595520264,5.30330490805908,2.47653840011748,1.91692261218206,3.04452243772342,0.741937344729377,4.70953020131233,24,24,"Bristol 006C","Bristol, City of"
"BS105EH","BS10 5EH","BS",4.275276264727,5.30330490805908,2.37024374146786,1.90210752639692,2.56494935746154,0.741937344729377,5.23110861685459,15,15,"Bristol 002A","Bristol, City of"
"BS105EJ","BS10 5EJ","BS",4.21064501791826,5.30330490805908,1.70474809223843,2.05412373369555,3.04452243772342,0.693147180559945,5.04985600724954,29,29,"Bristol 002A","Bristol, City of"
"BS105EL","BS10 5EL","BS",4.11414718951828,5.03043792139244,1.41098697371026,2.17475172148416,3.04452243772342,0.693147180559945,5.71042701737487,29,29,"Bristol 002A","Bristol, City of"
"BS105EN","BS10 5EN","BS",4.22829253473184,5.30330490805908,2.09186406167839,1.98787434815435,3.04452243772342,0.587786664902119,5.38449506278909,35,35,"Bristol 004C","Bristol, City of"
"BS105EP","BS10 5EP","BS",3.98154906807676,5.30330490805908,1.91692261218206,1.96009478404727,3.04452243772342,0.336472236621213,5.53733426701854,15,15,"Bristol 004C","Bristol, City of"
"BS105EQ","BS10 5EQ","BS",4.41279829334063,5.30330490805908,2.54944517092557,1.91692261218206,2.56494935746154,0.641853886172395,5.52942908751142,20,20,"Bristol 006C","Bristol, City of"
"BS105ES","BS10 5ES","BS",4.01096295328305,5.30330490805908,1.30833281965018,2.04122032885964,3.04452243772342,0.693147180559945,5.26785815906333,48,48,"Bristol 004C","Bristol, City of"
"BS105ET","BS10 5ET","BS",4.3425058765116,5.30330490805908,1.93152141160321,2.19722457733622,3.04452243772342,0.641853886172395,5.37989735354046,39,39,"Bristol 004C","Bristol, City of"
"BS105EU","BS10 5EU","BS",4.32148013480585,5.30330490805908,1.98787434815435,2.24070968927596,3.04452243772342,0.693147180559945,4.88280192258637,20,20,"Bristol 004C","Bristol, City of"
"BS105EX","BS10 5EX","BS",4.17899203628239,5.30330490805908,1.80828877117927,1.62924053973028,2.56494935746154,0.587786664902119,4.31748811353631,17,17,"Bristol 004C","Bristol, City of"
"BS105EY","BS10 5EY","BS",3.89385903480047,4.61512051684126,2.2512917986065,1.45861502269952,1.94591014905531,0.587786664902119,3.17805383034795,13,13,"Bristol 004C","Bristol, City of"
"BS105FD","BS10 5FD","BS",3.53222564406856,5.30330490805908,1.75785791755237,1.30833281965018,2.56494935746154,0.405465108108164,6.0330862217988,21,21,"Bristol 002E","Bristol, City of"
"BS105FE","BS10 5FE","BS",3.58073729549423,4.39444915467244,1.70474809223843,2.26176309847379,3.04452243772342,0.587786664902119,5.2257466737132,6,6,"Bristol 002A","Bristol, City of"
